"'부럽지' 최송현 ""결혼 악플 불쾌""…이재한 ""잘 사는거 보여주자""",http://www.joynews24.com/view/1273686
이 시장 “경자구역·AI 집적단지 박차를”,http://www.jndn.com/article.php?aid=1574158778290790003
"""천재해커 이두희에게 비대면 코딩교육 받으세요…초보자도 OK""",https://www.news1.kr/articles/?3942046
"‘부럽지’ 지숙♥이두희, 광주 시장실 입성…비즈니스 모드 변신 [M+TV컷]",http://star.mbn.co.kr/view.php?year=2020&no=607317&refer=portal
[기자수첩] AI교육 기회 더 확대돼야,http://www.aitimes.com/news/articleView.html?idxno=129097
의향 광주를 넘어 '인공지능 광주시대' 선언,http://www.newscj.com/news/articleView.html?idxno=703833
"광주시, 인공지능 클러스터·플랫폼·인재양성 총 망라",http://www.ccreview.co.kr/news/articleView.html?idxno=241992
[남도일보 창사 23주년 특집] '혁신·소통의 뚝심'…광주 미래 100년 설계,http://www.namdonews.com/news/articleView.html?idxno=570471
4차 산업혁명,http://www.danbinews.com/news/articleView.html?idxno=13034
"광주시, ‘AI 중심도시 광주’ 비전·전략 선포",http://www.newsway.co.kr/news/view?tp=1&ud=2020012918300484312
광주시 '5G 기반 디지털트윈 공공선도 공모사업'에 선정,http://www.newsis.com/view/?id=NISX20200402_0000980765&cID=10899&pID=10800
광주과학기술진흥원-한국산학협동연구원 상호협력 업무협약,https://www.news1.kr/articles/?3940460
AI 중심도시 광주만들기 정책워크숍 개최,https://www.nocutnews.co.kr/news/5257934
"광주시, 4차 산업혁명 이끌 인공지능 인재양성 박차",http://www.asiatoday.co.kr/view.php?key=20191120010011709
"광주광역시, 'AI 중심도시 광주' 청사진 밝힌다",http://www.fnnews.com/news/202001141656332194
이용섭 시장 “AI 광주시대 열겠다”,http://www.jndn.com/article.php?aid=1579084229293630001
5G기반 디지털트윈 기술로 혁신성장 이끈다,http://www.m-i.kr/news/articleView.html?idxno=710160
"나무기술, 광주시 AI 생태계 조성 나서",http://www.datanet.co.kr/news/articleView.html?idxno=145323
세계적 AI 거점 육성…탄탄한 ‘미래 먹거리’ 기반,http://www.jndn.com/article.php?aid=1593337573302708029
'기술사업화·창업의 축제' 2019년 기사창투 한마당 개막,http://www.etnews.com/20191028000421
[광주매일신문 창사29주년]코로나19 위기를 기회로…미래 유망산업 선점하자,http://www.kjdaily.com/read.php3?aid=1591095563512702002
[2019 기사창투 한마당]기술·사업화·창업·투자 플랫폼 28일 팡파르,http://www.etnews.com/20191025000067
"광주시, 29일 ‘AI 중심도시 광주’ 비전·전략 선포식",https://view.asiae.co.kr/article/2020011417241695116
이용섭 광주시장 “새로운 광주시대 열겠다”,http://www.jndn.com/article.php?aid=1577097393292528001
‘광주경제자유구역’에 거는 기대,http://www.kjdaily.com/read.php3?aid=1591613367513252204
